locus_tag	GRYC_note
C1_06030C_A	Ortholog of S. cerevisiae Shg1; a COMPASS (Set1C) complex subunit that methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; repressed in an azole-resistant strain overexpressing MDR1
C1_06040W_A	Phenotype:viable (null)viable (null)viable (null)
C1_06050C_A	Ortholog(s) have ubiquinol-cytochrome-c reductase activity, role in aerobic respiration, mitochondrial electron transport, ubiquinol to cytochrome c and mitochondrial respiratory chain complex III localization
C1_06060C_A	Fatty acid biosynthetic protein; shows colony morphology-related gene regulation by Ssn6p; protein newly produced during adaptation to the serum
C1_06070W_A	Phenotype:viable (null)viable (null)haploinsufficient (null)viable (null)
C1_06080C_A	Phenotype:absent virulence (repressible), viable (null), decreased resistance to chemicals (null)
C1_06090C_A	Phenotype:viable (null)
C1_06100C_A	Phenotype:decreased virulence (repressible), viable (null), viable (null)viable (null)inviable (repressible), decreased resistance to chemicals (repressible)
C1_06110C_A	Phenotype:viable (null)viable (null)
C1_06120C_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_05790, <i>C. parapsilosis CDC317</i> : CPAR2_103730, <i>Pichia stipitis Pignal</i> : PICST_28344, <i>Candida tropicalis MYA-3404</i> : CTRG_04275 and <i>Candida albicans WO-1</i> : CAWG_00795
C1_06130C_A	Phenotype:viable (null)viable (null)viable (null)viable (null), decreased resistance to chemicals (null), inviable (null), inviable (null)haploinsufficient (null)
C1_06140C_A	Dubious open reading frame, only conserved in Candida dubliniensis; induced by alpha pheromone in SpiderM medium; mRNA binds She3; Spider biofilm induced; flow model biofilm repressed
C1_06150W_A	Ortholog of <i>Candida albicans WO-1</i> : CAWG_00792
C1_06160W_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null)
C1_06180W_A	Non-telomeric member of a family of telomere- proximal genes of unknown function; predicted N-terminus is extended, relative to that of other family members; overlaps orf19.2662
C1_06190C_A	Predicted ORF of unknown function; overlaps TLO34/orf19.2661
C1_06200W_A	Phenotype:normal competitive fitness (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)
C1_06210W_A	Phenotype:viable (null)viable (null)viable (null)
C1_06220C_A	Protein of unknown function; flow model biofilm induced; induced by alpha pheromone in SpiderM medium
C1_06230C_A	Phenotype:viable (null), normal biofilm formation (null), viable (null)viable (null)
C1_06250W_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)viable (null)viable (null)
C1_06260W_A	Phenotype:viable (null)viable (null)viable (null)
C1_06270W_A	Predicted membrane protein; transcript repressed by ciclopirox olamine
C1_06280C_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), abnormal biofilm formation (overexpression), decreased virulence (null), viable (null), decreased hyphal growth (null), increased virulence (overexpression), increased filamentous growth (overexpression), normal virulence (null), abnormal hyphal growth (overexpression), inviable (null), abnormal filamentous growth (null)
C1_06290C_A	Protein of unknown function; repressed by alpha pheromone in SpiderM medium
C1_06320W_A	Has domain(s) with predicted phosphatidylinositol binding activity and role in cell communication
C1_06330W_A	Dubious open reading frame
C1_06340W_A	Has domain(s) with predicted phosphatidylinositol binding activity and role in cell communication
C1_06350W_A	Protein of unknown function; rat catheter biofilm repressed
C1_06360W_A	Phenotype:viable (null)viable (null)viable (null)haploinsufficient (null)
C1_06370C_A	Phenotype:abnormal adhesion (null), abnormal biofilm formation (null)
C1_06380C_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_05960, <i>C. parapsilosis CDC317</i> : CPAR2_301790, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112420 and <i>Debaryomyces hansenii CBS767</i> : DEHA2G15290g
C1_06390W_A	Putative ubiquitin C-terminal hydrolase; regulated by Gcn2p and Gcn4p
C1_06400C_A	Phenotype:viable (null)viable (null)
C1_06410W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_05990, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_91852, <i>Debaryomyces hansenii CBS767</i> : DEHA2G15356g and <i>Pichia stipitis Pignal</i> : PICST_87044
C1_06420C_A	Phenotype:viable (overexpression)viable (null), decreased invasive growth (null)
C1_06430C_A	Phenotype:viable (null)viable (null), decreased invasive growth (null)
C1_06440C_A	Protein of unknown function; Spider biofilm induced
C1_06450C_A	Phenotype:haploinsufficient (null)
C1_06460C_A	Phenotype:viable (null)viable (null)viable (null)viable (null)
C1_06470W_A	Ortholog of S. cerevisiae Rpl39; a component of the 60S ribosomal subunit; Hap43-induced; Spider biofilm repressed
C1_06480C_A	Ortholog(s) have role in ER to Golgi vesicle- mediated transport and ER to Golgi transport vesicle, Golgi apparatus, endoplasmic reticulum localization
C1_06500W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_06080, <i>C. parapsilosis CDC317</i> : CPAR2_803360, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_112428 and <i>Debaryomyces hansenii CBS767</i> : DEHA2G15532g
C1_06510C_A	Phenotype:viable (null)
C1_06520C_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null)
C1_06530C_A	Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; Spider biofilm induced
C1_06540C_A	Phenotype:viable (null)viable (null)
C1_06550W_A	Putative glutamate synthase; regulated by Sef1, Sfu1, and Hap43; rat catheter biofilm repressed
C1_06560W_A	Putative protein of unknown function; Hap43p- repressed gene
C1_06570W_A	Phenotype:viable (null)viable (null)
C1_06580W_A	Phenotype:viable (null)
C1_06590C_A	Phenotype:viable (null), decreased invasive growth (null)
C1_06600W_A	Ortholog(s) have eukaryotic initiation factor 4G binding, mRNA binding activity
C1_06610C_A	Phenotype:decreased competitive fitness (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null), decreased invasive growth (null)
C1_06620C_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_06210, <i>Candida tropicalis MYA-3404</i> : CTRG_04227 and <i>Candida albicans WO-1</i> : CAWG_00750
C1_06630W_A	Phenotype:haploinsufficient (null), haploinsufficient (null)haploinsufficient (null), haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)
C1_06640C_A	Ortholog(s) have protein channel activity and role in mitochondrial outer membrane translocase complex assembly, protein targeting to mitochondrion
C1_06650W_A	Phenotype:viable (null)
C1_06660W_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null)
C1_06670W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_06250, <i>C. parapsilosis CDC317</i> : CPAR2_206820, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_125137 and <i>Debaryomyces hansenii CBS767</i> : DEHA2G13266g
C1_06680W_A	Phenotype:abnormal vacuolar morphology (reduction of function), viable (null)viable (null)viable (null), decreased virulence (null), decreased metal resistance (null), decreased rate vegetative growth (null), abnormal protein/peptide distribution (null), absent hyphal growth (null), decreased adhesion (null), viable (null), absent virulence (reduction of function), decreased osmotic stress resistance (null), decreased hyphal growth (null), decreased protein activity (null), abnormal endocytosis (reduction of function), normal virulence (null), delayed hyphal growth (null), viable (null)viable (null)viable (null)viable (null), increased heat sensitivity (null), abnormal vacuolar morphology (null), decreased adhesion (reduction of function), abnormal septum formation (null), decreased oxidative stress resistance (null), abnormal hyphal growth (reduction of function), decreased resistance to chemicals (null), viable (null)viable (null), absent virulence (null), decreased endocytosis (null), normal hyphal growth (null), abnormal nuclear position (null), normal cellular morphology (null)
C1_06690W_A	Phenotype:viable (null)viable (null)inviable (null), abnormal cell shape (repressible), abnormal chitin deposition (repressible), arrested cytokinesis (repressible)
C1_06700W_A	SH3-domain protein; role in barrier septum assembly involved in cell cycle cytokinesis; activates the Chs2 chitin synthase activity during cytokinesis; Spider biofilm repressed
C1_06710W_A	Phenotype:viable (null), decreased invasive growth (null)
C1_06720C_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_06730W_A	Phenotype:normal filamentous growth (null), absent invasive growth (null), viable (null)viable (null)viable (null), viable (null), normal actin cytoskeleton morphology (null), decreased resistance to chemicals (null), viable (null)viable (overexpression), normal hyphal growth (overexpression), normal hyphal growth (null), abnormal cell size (overexpression)
C1_06740C_A	Putative ortholog of S. cerevisiae Nop6; role in ribosomal small subunit biogenesis; Spider biofilm induced
C1_06750W_A	Protein of unknown function; Spider biofilm induced
C1_06760C_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_06770W_A	Phenotype:viable (null)viable (null)viable (null)
C1_06780W_A	Phenotype:normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), decreased nutrient uptake (null), viable (null)viable (null), decreased utilization of nitrogen source (null)
C1_06790C_A	Putative ribosomal protein; induced upon adherence to polystyrene; Spider biofilm repressed
C1_06800W_A	Phenotype:viable (null)
C1_06810W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), decreased virulence (null), decreased rate vegetative growth (null), abnormal hyphal growth (null), absent hyphal growth (null), viable (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null), decreased oxidative stress resistance (null), decreased resistance to chemicals (null), viable (null)viable (null), absent protein activity (null)
C1_06820W_A	Phenotype:decreased resistance to chemicals (null)
C1_06840C_A	Ortholog(s) have role in mitochondrial respiratory chain complex IV assembly and mitochondrion localization
C1_06850W_A	Phenotype:viable (null)viable (null)viable (null), normal virulence (repressible)
C1_06860W_A	Phenotype:viable (null)viable (null)viable (null)
C1_06870C_A	Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_208910, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_114047, <i>Debaryomyces hansenii CBS767</i> : DEHA2D14388g and <i>Pichia stipitis Pignal</i> : PICST_37629
C1_06880C_A	Phenotype:viable (null)viable (null)haploinsufficient (null), viable (null)viable (null)haploinsufficient (null)haploinsufficient (null)
C1_06890C_A	Phenotype:haploinsufficient (null), haploinsufficient (null)haploinsufficient (null), decreased invasive growth (null)
C1_06900C_A	Mitochondrial protein; possibly required for transamination of isoleucine; macrophage-downregulated protein abundance; rat catheter and Spider biofilm repressed
C1_06910C_A	Ortholog(s) have role in positive regulation of transcription elongation from RNA polymerase II promoter and CCR4-NOT core complex localization
C1_06920C_A	Phenotype:normal competitive fitness (null), viable (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null), decreased rate vegetative growth (null), normal colony appearance (null)
C1_06930W_A	Phenotype:viable (null)
C1_06940C_A	Phenotype:decreased virulence (null), decreased heat sensitivity (null), increased ionic stress resistance (null), viable (null), delayed germ tube formation (null), increased oxidative stress resistance (null), absent utilization of carbon source (null)
C1_06960W_A	Phenotype:absent virulence (repressible), viable (null)viable (null)
C1_06970C_A	Protein of unknown function; protein newly produced during adaptation to the serum
C1_06980C_A	Phenotype:viable (null)haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)
C1_07000W_A	Putative mitochondrial translation elongation factor; caspofungin induced
C1_07010W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_06550, <i>C. parapsilosis CDC317</i> : CPAR2_209030, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_111035 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F25300g
C1_07020C_A	Zn(II)2Cys6 transcription factor; has similarity to S. cerevisiae Put3, a transcription factor involved in the regulation of proline utilization genes
C1_07030C_A	Phenotype:decreased competitive fitness (null), decreased virulence (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), decreased resistance to chemicals (null), viable (null)viable (null)
C1_07040C_A	Phenotype:decreased virulence (null), viable (null)viable (null)viable (null)viable (null)
C1_07050C_A	Phenotype:viable (null)viable (null)viable (null)
C1_07060C_A	Ortholog of <i>S. cerevisiae</i> : YIL156W-B, <i>C. glabrata CBS138</i> : CAGL0H06732g, <i>C. dubliniensis CD36</i> : Cd36_06600, <i>C. parapsilosis CDC317</i> : CPAR2_208850 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_116509
C1_07070C_A	Putative RNA helicase
C1_07080W_A	Component of the SWI/SNF and RSC chromatin remodeling complexes; suggested role in chromosome maintenance; Spider biofilm induced
C1_07090C_A	Ortholog(s) have 3'-5'-exoribonuclease activity
C1_07100C_A	Phenotype:viable (null)viable (overexpression)haploinsufficient (null)viable (null)
C1_07110W_A	Phenotype:inviable (null)inviable (null)viable (null), inviable (null)inviable (null), inviable (null)
C1_07120W_A	Putative amino acid permease; hyphal induced; regulated by Hap43, Gcn2 and Gcn4; colony morphology- related gene regulation by Ssnp; detected at plasma membrane of yeast and germ tube by mass spec; Spider biofilm induced
C1_07130C_A	Protein of unknown function; Spider biofilm induced
C1_07140C_A	Phenotype:viable (null), viable (null)viable (repressible)
C1_07150W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_06690, <i>Debaryomyces hansenii CBS767</i> : DEHA2F26620g, <i>Pichia stipitis Pignal</i> : PICST_62738 and <i>Spathaspora passalidarum NRRL Y-27907</i> : spas_CGOB_00038
C1_07160C_A	Protein conserved among the CTG-clade; 2 adjacent upstream SRE-1 elements; highly up-regulated in cecum- grown cells in a Cph2-dependent manner; Hap43-repressed; rat catheter, Spider and flow model biofilm induced
C1_07170C_A	Predicted Zn(II)2Cys6 transcription factor; ortholog of S. cerevisiae Gsm1; flow model biofilm induced
C1_07180W_A	Copper chaperone involved in activation and protection of superoxide dismutase Sod1p
C1_07190W_A	Phenotype:absent cytokinesis (null), decreased rate vegetative growth (null), viable (null), decreased hyphal growth (null), decreased resistance to chemicals (null), abnormal cell cycle progression (null), increased cell size (null), decreased invasive growth (null), decreased hypoosmotic stress resistance (null), abnormal cell shape (null)
C1_07200W_A	Phenotype:viable (null)
C1_07210C_A	Protein similar to ammomium permeases that is probably inactive, as a mep2 mep3 double homozygous null mutation abolishes cellular ammomium permease activity; fungal-specific (no human or murine homolog)
C1_07220W_A	Phenotype:normal filamentous growth (null), normal competitive fitness (null), viable (null)viable (null)viable (null)viable (null)viable (null), viable (null), normal invasive growth (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)viable (null)viable (null)
C1_07230W_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null), viable (null), normal rate vegetative growth (null), abnormal colony appearance (null), increased phenotypic switching (null)
C1_07240W_A	Phenotype:increased filamentous growth (null), viable (null)viable (null)viable (null), decreased rate vegetative growth (null), viable (null), increased flocculation (null), decreased resistance to chemicals (null)
C1_07250C_A	Putative mannosyltransferase; similar to S. cerevisiae Alg9p; has HKEXRF motif
C1_07260C_A	Phenotype:viable (null)viable (null)viable (null)haploinsufficient (null)viable (null)
C1_07270W_A	Phenotype:viable (null)viable (null)
C1_07280C_A	Ortholog(s) have role in nucleotide-excision repair, phosphorylation of RNA polymerase II C-terminal domain, transcription from RNA polymerase II promoter and core TFIIH complex, cytosol, holo TFIIH complex localization
C1_07290W_A	Ortholog of <i>Candida albicans WO-1</i> : CAWG_00687
C1_07330W_A	Zinc finger protein; controls meiosis in S. cerevisae; white-specific transcript; upregulation correlates with clinical development of fluconazole resistance; Upc2-regulated in hypoxia; flow model biofilm induced; Spider biofilm repressed
C1_07340W_A	Ortholog(s) have ATPase activity, DNA binding, nucleosome binding, rDNA binding activity
C1_07350C_A	Phenotype:decreased virulence (null), normal virulence (null), decreased oxidative stress resistance (null), viable (null)viable (null)
C1_07360W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)
C1_07370C_A	Phenotype:normal filamentous growth (null), decreased filamentous growth (null), normal competitive fitness (null), viable (null)viable (null)viable (null)viable (null)viable (null), normal germ tube formation (null), viable (null)viable (null)viable (null), decreased virulence (null), abnormal hyphal growth (null), viable (null)viable (null)viable (overexpression), absent hyphal growth (null), viable (null), normal phenotypic switching (null), normal chemical compound accumulation (null), decreased hyphal growth (null), normal colony appearance (null), increased filamentous growth (overexpression), normal rate vegetative growth (null), increased mating efficiency (overexpression), abnormal biofilm formation (null), normal virulence (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), normal biofilm formation (null), viable (null)viable (null)viable (null)viable (null), abnormal pseudohyphal growth (overexpression), absent mating response (null), decreased resistance to chemicals (null), viable (null)viable (null), decreased resistance to killing by host cells (null), delayed germ tube formation (null), viable (overexpression), normal hyphal growth (null), decreased invasive growth (null), abnormal mating projection morphology (null), decreased pseudohyphal growth (null)
C1_07380C_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_07390W_A	Ortholog(s) have ubiquitin binding activity, role in proteasome-mediated ubiquitin-dependent protein catabolic process and cytoplasm, nucleus localization
C1_07400C_A	Phenotype:inviable (null)inviable (null)viable (null)inviable (repressible)viable (null)viable (null)
C1_07410C_A	Phenotype:viable (null)viable (null)
C1_07420C_A	Putative peroxisomal protein involved in targeting proteins into peroxisomes; possibly an essential gene, disruptants not obtained by UAU1 method
C1_07430W_A	Phenotype:normal competitive fitness (null), decreased virulence (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null), increased protein secretion (null), viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)
C1_07440W_A	Putative glucosyltransferase; localized to the mitochondrial membrane
C1_07460C_A	Phenotype:haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null)viable (repressible)inviable (null)viable (null), haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null)viable (repressible)inviable (null)
C1_07470C_A	Phenotype:decreased invasive growth (null)
C1_07480C_A	Phenotype:normal competitive fitness (null), normal colony appearance (null), viable (null)haploinsufficient (null)haploinsufficient (null)viable (null), normal rate vegetative growth (null)
C1_07490C_A	Phenotype:viable (null)viable (null)viable (null)viable (null), decreased invasive growth (null)
C1_07500C_A	Ortholog(s) have tRNA binding activity, role in regulation of ascospore formation, tRNA 3'-trailer cleavage, endonucleolytic and nucleolus, nucleoplasm localization
C1_07510W_A	Phenotype:viable (null)viable (null)viable (null)
C1_07520C_A	Phenotype:viable (null)viable (null), viable (null)viable (null)viable (repressible)
C1_07530W_A	Ortholog of <i>Candida albicans WO-1</i> : CAWG_00667
C1_07540C_A	Phenotype:viable (null)viable (repressible)viable (null)viable (null), viable (null)viable (repressible)viable (null)
C1_07550W_A	Phenotype:viable (null)viable (null)viable (null)
C1_07560W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_07040, <i>C. parapsilosis CDC317</i> : CPAR2_208700, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_108836 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F25674g
C1_07570C_A	Has domain(s) with predicted RNA binding, pseudouridine synthase activity and role in pseudouridine synthesis
C1_07580C_A	Phenotype:normal competitive fitness (null), viable (null)viable (null)viable (null), normal colony appearance (null), normal rate vegetative growth (null), viable (null)viable (null)
C1_07590C_A	Ortholog(s) have AP-2 adaptor complex, cellular bud neck localization
C1_07600W_A	Putative subunit of the F1F0-ATPase complex; colony morphology-related gene regulation by Ssn6; farnesol, macrophage-downregulated protein abundance; protein present in exponential and stationary yeast growth phases; Hap43-induced
C1_07610C_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_07090, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00237, <i>Debaryomyces hansenii CBS767</i> : DEHA2F25542g and <i>Pichia stipitis Pignal</i> : psti_CGOB_00186
C1_07620C_A	Phenotype:increased filamentous growth (null), increased resistance to chemicals (null), viable (null), increased oxidative stress resistance (null), increased virulence (null)
C1_07630W_A	Ortholog(s) have disulfide oxidoreductase activity, role in cellular response to oxidative stress, response to osmotic stress and mitochondrial matrix localization
C1_07640C_A	Phenotype:haploinsufficient (null), normal competitive fitness (null), viable (null), normal colony appearance (null), normal rate vegetative growth (null)
C1_07650W_A	Protein of unknown function; Hap43-repressed gene
C1_07660W_A	Phenotype:viable (null)viable (null)
C1_07670W_A	Phenotype:viable (null)viable (repressible)inviable (null)
C1_07680W_A	Phenotype:increased metal resistance (null), decreased vegetative growth (null), increased resistance to chemicals (null), decreased RNA accumulation (null), decreased alkaline pH resistance (null), decreased resistance to chemicals (null), increased RNA accumulation (null)
C1_07690C_A	Phenotype:viable (null), decreased invasive growth (null)
C1_07700C_A	Phenotype:absent germ tube formation (repressible), decreased chemical compound accumulation (repressible), viable (null), decreased osmotic stress resistance (repressible), viable (null)inviable (null), increased pseudohyphal growth (repressible), decreased resistance to chemicals (repressible), decreased cytokinesis (repressible), normal resistance to chemicals (repressible)
C1_07710C_A	Phenotype:viable (null)
C1_07770W_A	Phenotype:increased filamentous growth (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)
C1_07780W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_07300, <i>C. parapsilosis CDC317</i> : CPAR2_208300, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_95879 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F26246g
C1_07790C_A	Putative U3-containing 90S preribosome processome complex subunit; Hap43-induced gene; rat catheter and Spider biofilm induced; F-12/CO2 early biofilm induced
C1_07800W_A	Phenotype:viable (null)viable (null)
C1_07810C_A	Has domain(s) with predicted protein heterodimerization activity
C1_07820W_A	Ortholog of <i>S. cerevisiae</i> : YFR045W, <i>C. glabrata CBS138</i> : CAGL0C02013g, <i>C. dubliniensis CD36</i> : Cd36_07340, <i>C. parapsilosis CDC317</i> : CPAR2_208340 and <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_116470
C1_07830C_A	Phenotype:viable (null)viable (null)viable (null)
C1_07840W_A	Putative quinolinate phosphoribosyl transferase, involved in NAD biosynthesis; Hap43p-repressed gene
C1_07850C_A	Phenotype:decreased invasive growth (null)
C1_07860W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_07380 and <i>Candida albicans WO-1</i> : CAWG_00634
C1_07870C_A	Phenotype:normal competitive fitness (null), viable (null), decreased RNA accumulation (null), normal rate vegetative growth (null), decreased chemical compound accumulation (null), abnormal biofilm formation (null), normal virulence (null), decreased resistance to chemicals (null), viable (null)viable (null), normal hyphal growth (null), abnormal colony appearance (null)
C1_07880C_A	Phenotype:decreased virulence (null), auxotrophy (null)auxotrophy (null), decreased resistance to killing by host cells (null), haploinsufficient (null)viable (null)viable (null)viable (null)viable (null), haploinsufficient (null)viable (null)viable (null)viable (null), absent virulence (null), auxotrophy (null)
C1_07890C_A	Phenotype:decreased virulence (null), decreased metal resistance (null), decreased hyphal growth (null), viable (null)viable (null), auxotrophy (null)
C1_07900W_A	Phenotype:haploinsufficient (null)
C1_07910C_A	Phenotype:viable (null)viable (null)
C1_07920W_A	Ortholog of <i>C. dubliniensis CD36</i> : Cd36_07450, <i>C. parapsilosis CDC317</i> : CPAR2_208450, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_116488 and <i>Debaryomyces hansenii CBS767</i> : DEHA2F26114g
C1_07930C_A	Putative membrane protein required for the retention of lumenal endoplasmic reticulum proteins; rat catheter biofilm induced
C1_07950C_A	Phenotype:inviable (null)viable (null)inviable (repressible)viable (null), inviable (null)viable (null)inviable (repressible), inviable (null)viable (null), inviable (null)
C1_07960W_A	Predicted nuclear exosome-associated nucleic acid binding protein; rat catheter and Spider biofilm induced
C1_07970C_A	Phenotype:decreased germ tube formation (null), viable (null)viable (null)viable (null)viable (null)viable (null), increased competitive fitness (null), viable (null), normal rate vegetative growth (null), viable (null)viable (null)viable (null)viable (null), decreased resistance to chemicals (null), viable (null)viable (null), abnormal colony appearance (null)
C1_07980C_A	Ortholog of S. cerevisiae Sae3; meiosis specific protein involved in DMC1-dependent meiotic recombination in S. cerevisiae; Spider biofilm induced
C1_07990C_A	Similar to cell-wall mannoproteins; induced in low iron; induced in cyr1 homozygous null; regulated by osmotic and oxidative stress via Hog1; Spider biofilm induced
C1_08000W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)
C1_08010W_A	Phenotype:viable (null)viable (null)
C1_08020W_A	Phenotype:viable (null)viable (null)viable (null)
C1_08030W_A	Phenotype:haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null), haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null)viable (repressible), haploinsufficient (null)haploinsufficient (null)haploinsufficient (null)viable (null)viable (null)
C1_08040W_A	Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_804320, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_114112, <i>Debaryomyces hansenii CBS767</i> : DEHA2G14938g and <i>Candida orthopsilosis Co 90-125</i> : CORT_0A04360
C1_08050W_A	Protein of unknown function; Hap43-repressed gene; repressed by nitric oxide
C1_08060W_A	Protein of unknown function; Hap43-repressed gene; rat catheter biofilm repressed
C1_08070W_A	Phenotype:viable (null), normal resistance to chemicals (null), increased resistance to chemicals (overexpression)
C1_08080C_A	Ortholog(s) have role in NADH oxidation, programmed cell death and mitochondrial respiratory chain complex I, membrane segment localization
C1_08090C_A	Phenotype:viable (null)viable (null)
C1_08100W_A	Phenotype:decreased virulence (null), viable (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), decreased invasive growth (null)
C1_08110W_A	Phenotype:viable (null)viable (overexpression)haploinsufficient (null)viable (null)viable (null)viable (null)viable (null)
C1_08120W_A	Phenotype:abnormal hyphal growth (null), abnormal protein/peptide distribution (null), viable (null), viable (null)viable (null)
C1_08130C_A	Phenotype:viable (null)viable (null)viable (null), viable (null), viable (null)viable (null)viable (null)viable (null), decreased telomere length (null)
C1_08140W_A	Phenotype:viable (null), decreased resistance to chemicals (null)
C1_08150C_A	Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_207660.1, <i>C. dubliniensis CD36</i> : Cd36_07680, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113324 and <i>Debaryomyces hansenii CBS767</i> : DEHA2C11088g
C1_08160W_A	Phenotype:viable (null)viable (null)
C1_08170C_A	Phenotype:viable (null)
C1_08180C_A	Phenotype:resistance to chemicals (null)viable (null)viable (null)viable (null)haploinsufficient (null)viable (null)viable (null)viable (null)viable (null)
C1_08190C_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null), viable (null), increased hyphal growth (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null), increased invasive growth (null), normal utilization of carbon source (null), abnormal colony appearance (null), decreased invasive growth (null)
C1_08200W_A	Phenotype:viable (null)viable (null)viable (null)viable (null)viable (null), viable (null)viable (null)viable (null)viable (null)viable (null)viable (null)
C1_08210C_A	Phenotype:decreased virulence (null), viable (null), increased filamentous growth (unspecified), viable (null)viable (null)
C1_08220W_A	Phenotype:decreased filamentous growth (null), increased filamentous growth (null), decreased virulence (null), viable (null), abnormal mitochondrial morphology (null), decreased resistance to chemicals (null), viable (null)viable (null)
C1_08230C_A	Phenotype:decreased virulence (null), viable (null)
C1_08240C_A	Phenotype:viable (null)
C1_08260C_A	Phenotype:viable (null)viable (null)viable (null), normal virulence (null), decreased invasive growth (null)
C1_08270C_A	Phenotype:abnormal phenotypic switching (null)
C1_08290C_A	Phenotype:increased resistance to chemicals (null), viable (null), increased filamentous growth (unspecified), decreased colony size (unspecified)
C1_08300W_A	Phenotype:decreased virulence (null), absent hyphal growth (null), decreased adhesion (null), viable (null), decreased hyphal growth (null), normal virulence (null), decreased resistance to chemicals (null), viable (null)viable (null), normal heat sensitivity (null), normal resistance to chemicals (null), normal hyphal growth (null)
